Timestamp (UTC),Transaction Description,Currency,Amount,To Currency,To Amount,Native Currency,Native Amount,Native Amount (in USD),Transaction Kind,Transaction Hash
2025-12-05 10:28:35,Card Cashback,CRO,0.93312737,,,EUR,0.09,0.1026864864,referral_card_cashback,
2025-12-05 03:36:10,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.00167019778599507837619946190169,0.0019056304692988191793837792028356480224,supercharger_reward_to_app_credited,
2025-12-05 02:40:07,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.0062174974036580476132113166045,0.00709392180647519351649529247593426032,supercharger_reward_to_app_credited,
2025-12-05 02:40:07,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00621422761801291497550312781029,0.0070901911087065287628484251894311762784,supercharger_reward_to_app_credited,
2025-12-04 12:17:49,Card Cashback,CRO,0.09040019,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-12-04 12:06:03,Card Cashback,CRO,8.30995198,,,EUR,0.79,0.9013591584,referral_card_cashback,
2025-12-04 10:33:47,Card Cashback,CRO,0.09022625,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-12-04 07:03:49,Card Cashback,CRO,0.08956156,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-12-04 01:49:06,CRO Pool Rewards,BARA,5613.96179074,,,EUR,0.0017467097079692395800980454927,0.001992927585245903241778662879474664992,supercharger_reward_to_app_credited,
2025-12-03 13:03:53,Card Cashback,CRO,0.08876233,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-12-03 10:12:45,Card Cashback,CRO,0.08908353,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-12-03 07:21:44,Card Cashback,CRO,0.08938271,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-12-03 06:16:59,Card Cashback,CRO,3.218654,,,EUR,0.31,0.3536978976,referral_card_cashback,
2025-12-03 02:12:10,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00608250030178557527052442855164,0.0069398953835255596748098117037305839744,supercharger_reward_to_app_credited,
2025-12-02 17:49:31,Card Cashback,CRO,0.9769353,,,EUR,0.1,0.114096096,referral_card_cashback,
2025-12-02 16:30:40,Card Cashback,CRO,2.37622611,,,EUR,0.24,0.2738306304,referral_card_cashback,
2025-12-02 13:10:32,Card Cashback,CRO,2.72018046,,,EUR,0.26,0.2966498496,referral_card_cashback,
2025-12-02 12:21:34,Card Cashback,CRO,0.09022253,,,EUR,0.01,0.0114096096,referral_card_cashback,
2025-12-02 03:31:09,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00592389528069667858834871557713,0.0067589332464031518709737953396491988448,supercharger_reward_to_app_credited,
2025-12-01 21:52:11,Card Cashback,CRO,21.48991676,,,EUR,1.95,2.224873872,referral_card_cashback,
2025-12-01 21:19:59,Card Cashback,CRO,22.82936168,,,EUR,2.05,2.338969968,referral_card_cashback,
2025-12-01 03:31:03,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00620481538802636846547233478311,0.0070794521217453378696790419475785773856,supercharger_reward_to_app_credited,
2025-11-30 03:31:05,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00678731230706851536824535052811,0.0077440583656927080803279686540888925856,supercharger_reward_to_app_credited,
2025-11-29 03:30:05,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00734890244247261729166753816448,0.0083848107857099021988135943449817387008,supercharger_reward_to_app_credited,
2025-11-28 05:15:11,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00692270182299420210946346709692,0.0078985325177572149132474625038302562432,supercharger_reward_to_app_credited,
2025-11-27 09:13:59,Mystery Box Rewards,CRO,1.0,,,EUR,0.1,0.114096096,rewards_platform_deposit_credited,
2025-11-27 01:15:21,CRO Pool Rewards,XPL,0.03916316,,,EUR,0.00713035114009315691423487767262,0.0081354522819377828022960636948350809152,supercharger_reward_to_app_credited,
